GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
465,None,238,0,692,476
466,0,238,None,693,476
466,None,238,0,694,476
467,1,239,None,694,477
467,None,239,1,695,478
468,0,239,None,696,478
468,None,239,0,697,478
469,1,240,None,697,479
469,None,240,1,698,480
470,0,240,None,699,480
470,None,240,0,700,480
471,0,240,None,701,480
471,None,240,0,702,480
472,1,241,None,702,481
472,None,241,1,703,482
473,1,242,None,703,483
473,None,242,1,704,484
474,0,242,None,705,484
474,None,242,0,706,484
475,1,243,None,706,485
475,None,243,1,707,486
476,1,244,None,707,487
476,None,244,1,708,488
477,1,245,None,708,489
477,None,245,1,709,490
478,1,246,None,709,491
478,None,246,1,710,492
479,0,246,None,711,492
479,None,246,0,712,492
480,1,247,None,712,493
480,None,247,1,713,494
481,0,247,None,714,494
481,None,247,0,715,494
482,1,248,None,715,495
482,None,248,1,716,496
483,0,248,None,717,496
483,None,248,0,718,496
484,0,248,None,719,496
484,None,248,0,720,496
485,0,248,None,721,496
485,None,248,0,722,496
486,1,249,None,722,497
486,None,249,1,723,498
487,0,249,None,724,498
487,None,249,0,725,498
488,0,249,None,726,498
488,None,249,0,727,498
489,1,250,None,727,499
489,None,250,1,728,500
490,0,250,None,729,500
490,None,250,0,730,500
491,1,251,None,730,501
491,None,251,1,731,502
492,0,251,None,732,502
492,None,251,0,733,502
493,1,252,None,733,503
493,None,252,1,734,504
494,1,253,None,734,505
494,None,253,1,735,506
495,0,253,None,736,506
495,None,253,0,737,506
496,0,253,None,738,506
496,None,253,0,739,506
497,1,254,None,739,507
497,None,254,1,740,508
498,1,255,None,740,509
498,None,255,1,741,510
499,0,255,None,742,510
499,None,255,0,743,510
500,1,256,None,743,511
500,None,256,1,744,512
501,1,257,None,744,513
501,None,257,1,745,514
502,1,258,None,745,515
502,None,258,1,746,516
503,1,259,None,746,517
503,None,259,1,747,518
504,1,260,None,747,519
504,None,260,1,748,520
505,0,260,None,749,520
505,None,260,0,750,520
506,1,261,None,750,521
506,None,261,1,751,522
507,0,261,None,752,522
507,None,261,0,753,522
508,0,261,None,754,522
508,None,261,0,755,522
509,1,262,None,755,523
