date,code,open,high,low,close,volume,amount,turn,pctChg,Open,High,Low,Close,RowIndex
2012-02-01,sh.000001,2288.066,2305.863,2263.342,2268.08,5355381100,48554972307.0,0.00297,-1.069961,2288.066,2305.863,2263.342,2268.08,501
2012-02-02,sh.000001,2273.85,2312.556,2268.687,2312.556,6347187200,57682360382.0,0.00352,1.960946,2273.85,2312.556,2268.687,2312.556,502
2012-02-03,sh.000001,2306.656,2336.267,2300.982,2330.405,7894369700,70249339901.0,0.004378,0.771835,2306.656,2336.267,2300.982,2330.405,503
2012-02-06,sh.000001,2334.248,2341.575,2317.422,2331.136,7573447700,67305626604.0,0.0042,0.031366,2334.248,2341.575,2317.422,2331.136,504
2012-02-07,sh.000001,2319.421,2319.708,2278.825,2291.902,6732690600,58091080366.0,0.003734,-1.683037,2319.421,2319.708,2278.825,2291.902,505
2012-02-08,sh.000001,2291.812,2350.965,2286.819,2347.53,8711452800,80885696801.0,0.004831,2.427151,2291.812,2350.965,2286.819,2347.53,506
2012-02-09,sh.000001,2344.224,2363.613,2333.935,2349.589,9803232500,89658695587.0,0.005437,0.087713,2344.224,2363.613,2333.935,2349.589,507
2012-02-10,sh.000001,2342.011,2368.979,2339.885,2351.981,9650161900,82222468070.0,0.005352,0.101799,2342.011,2368.979,2339.885,2351.981,508
2012-02-13,sh.000001,2332.055,2365.339,2325.028,2351.855,8626358500,77715389643.0,0.004784,-0.005356,2332.055,2365.339,2325.028,2351.855,509
2012-02-14,sh.000001,2348.877,2352.469,2332.247,2344.771,7313041300,66294933778.0,0.004055,-0.301208,2348.877,2352.469,2332.247,2344.771,510
2012-02-15,sh.000001,2340.455,2374.282,2335.101,2366.702,9886102100,87632869277.0,0.00548,0.935311,2340.455,2374.282,2335.101,2366.702,511
2012-02-16,sh.000001,2363.897,2373.804,2342.073,2356.86,9505116900,83758449953.0,0.005269,-0.415844,2363.897,2373.804,2342.073,2356.86,512
2012-02-17,sh.000001,2366.63,2372.512,2344.76,2357.181,7192483900,65121696783.0,0.003985,0.013611,2366.63,2372.512,2344.76,2357.181,513
2012-02-20,sh.000001,2383.686,2388.009,2362.012,2363.597,8891158600,82306945828.0,0.004925,0.27219,2383.686,2388.009,2362.012,2363.597,514
2012-02-21,sh.000001,2365.487,2382.146,2345.053,2381.43,7934866900,74538521268.0,0.004395,0.754486,2365.487,2382.146,2345.053,2381.43,515
