GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
246,None,117,1,375,234
247,1,118,None,375,235
247,None,118,1,376,236
248,0,118,None,377,236
248,None,118,0,378,236
249,1,119,None,378,237
249,None,119,1,379,238
250,0,119,None,380,238
250,None,119,0,381,238
251,1,120,None,381,239
251,None,120,1,382,240
252,0,120,None,383,240
252,None,120,0,384,240
253,1,121,None,384,241
253,None,121,1,385,242
254,1,122,None,385,243
254,None,122,1,386,244
255,1,123,None,386,245
255,None,123,1,387,246
256,1,124,None,387,247
256,None,124,1,388,248
257,0,124,None,389,248
257,None,124,0,390,248
258,1,125,None,390,249
258,None,125,1,391,250
259,0,125,None,392,250
259,None,125,0,393,250
260,1,126,None,393,251
260,None,126,1,394,252
261,0,126,None,395,252
261,None,126,0,396,252
262,0,126,None,397,252
262,None,126,0,398,252
263,1,127,None,398,253
263,None,127,1,399,254
264,1,128,None,399,255
264,None,128,1,400,256
265,0,128,None,401,256
265,None,128,0,402,256
266,1,129,None,402,257
266,None,129,1,403,258
267,1,130,None,403,259
267,None,130,1,404,260
268,0,130,None,405,260
268,None,130,0,406,260
269,1,131,None,406,261
269,None,131,1,407,262
270,0,131,None,408,262
270,None,131,0,409,262
271,1,132,None,409,263
271,None,132,1,410,264
272,0,132,None,411,264
272,None,132,0,412,264
273,1,133,None,412,265
273,None,133,1,413,266
274,0,133,None,414,266
274,None,133,0,415,266
275,1,134,None,415,267
275,None,134,1,416,268
276,0,134,None,417,268
276,None,134,0,418,268
277,0,134,None,419,268
277,None,134,0,420,268
278,0,134,None,421,268
278,None,134,0,422,268
279,0,134,None,423,268
279,None,134,0,424,268
280,0,134,None,425,268
280,None,134,0,426,268
281,0,134,None,427,268
281,None,134,0,428,268
282,0,134,None,429,268
282,None,134,0,430,268
283,1,135,None,430,269
283,None,135,1,431,270
284,1,136,None,431,271
284,None,136,1,432,272
285,1,137,None,432,273
285,None,137,1,433,274
286,0,137,None,434,274
286,None,137,0,435,274
287,1,138,None,435,275
287,None,138,1,436,276
288,1,139,None,436,277
288,None,139,1,437,278
289,1,140,None,437,279
289,None,140,1,438,280
290,1,141,None,438,281
290,None,141,1,439,282
291,1,142,None,439,283
291,None,142,1,440,284
292,1,143,None,440,285
292,None,143,1,441,286
293,0,143,None,442,286
293,None,143,0,443,286
294,1,144,None,443,287
294,None,144,1,444,288
295,1,145,None,444,289
295,None,145,1,445,290
296,1,146,None,445,291
296,None,146,1,446,292
297,0,146,None,447,292
297,None,146,0,448,292
298,0,146,None,449,292
298,None,146,0,450,292
299,0,146,None,451,292
299,None,146,0,452,292
300,1,147,None,452,293
300,None,147,1,453,294
301,1,148,None,453,295
301,None,148,1,454,296
302,0,148,None,455,296
302,None,148,0,456,296
303,1,149,None,456,297
303,None,149,1,457,298
304,1,150,None,457,299
304,None,150,1,458,300
305,0,150,None,459,300
305,None,150,0,460,300
306,0,150,None,461,300
306,None,150,0,462,300
307,0,150,None,463,300
307,None,150,0,464,300
308,0,150,None,465,300
308,None,150,0,466,300
309,1,151,None,466,301
309,None,151,1,467,302
310,0,151,None,468,302
310,None,151,0,469,302
311,1,152,None,469,303
311,None,152,1,470,304
312,1,153,None,470,305
312,None,153,1,471,306
313,0,153,None,472,306
313,None,153,0,473,306
314,0,153,None,474,306
314,None,153,0,475,306
315,0,153,None,476,306
315,None,153,0,477,306
316,0,153,None,478,306
316,None,153,0,479,306
317,1,154,None,479,307
317,None,154,1,480,308
318,1,155,None,480,309
318,None,155,1,481,310
319,1,156,None,481,311
319,None,156,1,482,312
320,0,156,None,483,312
320,None,156,0,484,312
321,0,156,None,485,312
321,None,156,0,486,312
322,1,157,None,486,313
322,None,157,1,487,314
323,1,158,None,487,315
323,None,158,1,488,316
324,0,158,None,489,316
324,None,158,0,490,316
325,1,159,None,490,317
325,None,159,1,491,318
326,0,159,None,492,318
326,None,159,0,493,318
327,1,160,None,493,319
327,None,160,1,494,320
328,1,161,None,494,321
328,None,161,1,495,322
329,0,161,None,496,322
329,None,161,0,497,322
330,0,161,None,498,322
330,None,161,0,499,322
331,1,162,None,499,323
331,None,162,1,500,324
332,0,162,None,501,324
332,None,162,0,502,324
333,0,162,None,503,324
333,None,162,0,504,324
334,1,163,None,504,325
334,None,163,1,505,326
335,0,163,None,506,326
335,None,163,0,507,326
336,0,163,None,508,326
336,None,163,0,509,326
337,1,164,None,509,327
337,None,164,1,510,328
338,0,164,None,511,328
338,None,164,0,512,328
339,1,165,None,512,329
339,None,165,1,513,330
340,1,166,None,513,331
340,None,166,1,514,332
341,0,166,None,515,332
341,None,166,0,516,332
342,1,167,None,516,333
342,None,167,1,517,334
343,1,168,None,517,335
343,None,168,1,518,336
344,0,168,None,519,336
344,None,168,0,520,336
345,0,168,None,521,336
345,None,168,0,522,336
346,0,168,None,523,336
346,None,168,0,524,336
347,0,168,None,525,336
347,None,168,0,526,336
348,1,169,None,526,337
348,None,169,1,527,338
349,0,169,None,528,338
349,None,169,0,529,338
350,1,170,None,529,339
350,None,170,1,530,340
351,0,170,None,531,340
351,None,170,0,532,340
352,1,171,None,532,341
352,None,171,1,533,342
353,0,171,None,534,342
353,None,171,0,535,342
354,0,171,None,536,342
354,None,171,0,537,342
355,1,172,None,537,343
355,None,172,1,538,344
356,0,172,None,539,344
356,None,172,0,540,344
357,1,173,None,540,345
357,None,173,1,541,346
358,0,173,None,542,346
358,None,173,0,543,346
359,1,174,None,543,347
359,None,174,1,544,348
360,0,174,None,545,348
360,None,174,0,546,348
361,0,174,None,547,348
361,None,174,0,548,348
362,0,174,None,549,348
362,None,174,0,550,348
363,1,175,None,550,349
363,None,175,1,551,350
364,0,175,None,552,350
364,None,175,0,553,350
365,0,175,None,554,350
365,None,175,0,555,350
366,1,176,None,555,351
366,None,176,1,556,352
367,1,177,None,556,353
367,None,177,1,557,354
368,1,178,None,557,355
368,None,178,1,558,356
369,0,178,None,559,356
369,None,178,0,560,356
370,0,178,None,561,356
370,None,178,0,562,356
371,0,178,None,563,356
371,None,178,0,564,356
372,1,179,None,564,357
372,None,179,1,565,358
373,0,179,None,566,358
373,None,179,0,567,358
374,1,180,None,567,359
374,None,180,1,568,360
375,0,180,None,569,360
375,None,180,0,570,360
376,1,181,None,570,361
376,None,181,1,571,362
377,0,181,None,572,362
377,None,181,0,573,362
378,0,181,None,574,362
378,None,181,0,575,362
379,0,181,None,576,362
379,None,181,0,577,362
380,0,181,None,578,362
380,None,181,0,579,362
381,0,181,None,580,362
381,None,181,0,581,362
382,1,182,None,581,363
382,None,182,1,582,364
383,0,182,None,583,364
383,None,182,0,584,364
384,1,183,None,584,365
384,None,183,1,585,366
385,0,183,None,586,366
385,None,183,0,587,366
386,1,184,None,587,367
386,None,184,1,588,368
387,1,185,None,588,369
387,None,185,1,589,370
388,0,185,None,590,370
388,None,185,0,591,370
389,0,185,None,592,370
389,None,185,0,593,370
390,1,186,None,593,371
390,None,186,1,594,372
391,0,186,None,595,372
391,None,186,0,596,372
392,1,187,None,596,373
392,None,187,1,597,374
393,1,188,None,597,375
393,None,188,1,598,376
394,1,189,None,598,377
394,None,189,1,599,378
395,0,189,None,600,378
395,None,189,0,601,378
